",""x""",Species_Name,Family,Subfamily,Tribe,Genus,Species,Instar,Antennae,Antennomere_I,Antennomere_II,Antennomere_III,Reference,,,,,,,,,,,,,,,,,,
"130,""Latimbus_refulgens_CMF_0650""",Latimbus_refulgens,Coreidae,Coreinae,Latimbini,Latimbus,refulgens,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"131,""Odontocurtus_consociatus_CMF_0694""",Odontocurtus_consociatus,Coreidae,Coreinae,Daladerini,Odontocurtus,consociatus,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"132,""Odontorhopala_callosa_CMF_0697""",Odontorhopala_callosa,Coreidae,Coreinae,Daladerini,Odontorhopala,callosa,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"133,""Cletoliturus_lituripennis_CMF_0709""",Cletoliturus_lituripennis,Coreidae,Coreinae,Gonocerini,Cletoliturus,lituripennis,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"134,""Cletomorpha_benita_CMF_0820""",Cletomorpha_benita,Coreidae,Coreinae,Gonocerini,Cletomorpha,benita,5,2,1,1,2,https://www.inaturalist.org/observations/288674051,,,,,,,,,,,,,,,,,,
"135,""Cletomorpha_nyasana_CMF_0748""",Cletomorpha_nyasana,Coreidae,Coreinae,Gonocerini,Cletomorpha,nyasana,5,2,1,2,2,https://www.inaturalist.org/observations/19291365,,,,,,,,,,,,,,,,,,
"136,""Cletus_binotulatus_CMF_0767""",Cletus_binotulatus,Coreidae,Coreinae,Gonocerini,Cletus,binotulatus,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"137,""Cletus_ochraceus_CMF_0152""",Cletus_ochraceus,Coreidae,Coreinae,Gonocerini,Cletus,ochraceus,5,2,2,2,2,https://www.inaturalist.org/observations/20505022,,,,,,,,,,,,,,,,,,
"138,""Cletus_sp_CMF_0765""",Cletus_sp.,Coreidae,Coreinae,Gonocerini,Cletus,sp.,5,2,1,2,2,https://www.inaturalist.org/observations/96189509,,,,,,,,,,,,,,,,,,
"139,""Coreus_marginatus_CMF_0793""",Coreus_marginatus,Coreidae,Coreinae,Coreini,Coreus,marginatus,3,2,2,2,2,https://www.inaturalist.org/observations/28554340,,,,,,,,,,,,,,,,,,
"140,""Pephricus_paradoxus_CMF_0730""",Pephricus_paradoxus,Coreidae,Coreinae,Phyllomorphini,Pephricus,paradoxus,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"141,""Tongorma_latreillii_CMF_0735""",Tongorma_latreillii,Coreidae,Coreinae,Phyllomorphini,Tongorma,latreillii,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"142,""Haidara_producta_CMF_0824""",Haidara_producta,Coreidae,Coreinae,Coreini,Haidara,producta,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"143,""Prionotylus_brevicornis_CMF_0916""",Prionotylus_brevicornis,Coreidae,Coreinae,Prionotylini,Prionotylus,brevicornis,5,1,1,1,1,https://www.inaturalist.org/observations/225155752,,,,,,,,,,,,,,,,,,
"144,""Fracastorius_cornutus_CMF_0531""",Fracastorius_cornutus,Coreidae,Coreinae,Homoeocerini,Fracastorius,cornutus,5,1,1,1,1,https://www.inaturalist.org/observations/118501091,,,,,,,,,,,,,,,,,,
"145,""Homoeocerus_marginellus_CMF_0327""",Homoeocerus_marginellus,Coreidae,Coreinae,Homoeocerini,Homoeocerus,marginellus,4,1,1,1,1,https://www.inaturalist.org/observations/303106394,,,,,,,,,,,,,,,,,,
"146,""Homoeocerus_angulatus_CMF_0759""",Homoeocerus_angulatus,Coreidae,Coreinae,Homoeocerini,Homoeocerus,angulatus,5,1,1,1,1,https://www.inaturalist.org/observations/300894281,,,,,,,,,,,,,,,,,,
"147,""Homoeocerus_bipustulatus_CMF_0093""",Homoeocerus_bipustulatus,Coreidae,Coreinae,Homoeocerini,Homoeocerus,bipustulatus,5,1,1,1,1,https://www.inaturalist.org/observations/300894281,,,,,,,,,,,,,,,,,,
"148,""Prismatocerus_auriculatus_CMF_0734""",Prismatocerus_auriculatus,Coreidae,Coreinae,Homoeocerini,Prismatocerus,auriculatus,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"149,""Galaesus_hasticornis_CMF_0701""",Galaesus_hasticornis,Coreidae,Coreinae,Dasynini,Galaesus,hasticornis,4,2,1,1,2,https://www.inaturalist.org/observations/154272003,,,,,,,,,,,,,,,,,,
"150,""Manocoreus_yunnanensis_CMF_1133""",Manocoreus_yunnanensis,Coreidae,Coreinae,Manocoreini,Manocoreus,yunnanensis,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"151,""Althos_obscurator_CMF_0870""",Althos_obscurator,Coreidae,Coreinae,Hypselonotini,Althos,obscurator,4,1,1,1,1,https://www.inaturalist.org/observations/201620150,,,,,,,,,,,,,,,,,,
"152,""Vazquezitocoris_repletus_CMF_0851""",Vazquezitocoris_repletus,Coreidae,Coreinae,Hypselonotini,Vazquezitocoris,repletus,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"153,""Catorhintha_guttula_CMF_0102""",Catorhintha_guttula,Coreidae,Coreinae,Hypselonotini,Catorhintha,guttula,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"154,""Catorhintha_texana_CMF_0070""",Catorhintha_texana,Coreidae,Coreinae,Hypselonotini,Catorhintha,texana,5,1,1,1,1,https://www.inaturalist.org/observations/171248117,,,,,,,,,,,,,,,,,,
"155,""Scolopocerus_secundarius_CMF_0808""",Scolopocerus_secundarius,Coreidae,Coreinae,Hypselonotini,Scolopocerus,secundarius,5,1,1,1,1,https://www.inaturalist.org/observations/137465850,,,,,,,,,,,,,,,,,,
"156,""Villasitocoris_inconspicuus_CMF_0822""",Villasitocoris_inconspicuus,Coreidae,Coreinae,Hypselonotini,Villasitocoris,inconspicuus,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"157,""Athaumastus_subterlineatus_CMF_0528""",Athaumastus_sp.,Coreidae,Coreinae,Acanthocerini,Athaumastus,sp.,3,2,1,1,2,https://www.inaturalist.org/observations/71573392,,,,,,,,,,,,,,,,,,
"158,""Crinocerus_sanctus_CMF_0860""",Crinocerus_sanctus,Coreidae,Coreinae,Acanthocerini,Crinocerus,sanctus,5,2,1,1,2,https://www.inaturalist.org/observations/254040258,,,,,,,,,,,,,,,,,,
"159,""Euthochtha_galeator_CMF_0162""",Euthochtha_galeator,Coreidae,Coreinae,Acanthocerini,Euthochtha,galeator,5,2,1,1,2,https://www.inaturalist.org/observations/196802219,,,,,,,,,,,,,,,,,,
"160,""Acanthocerus_crucifer_CMF_0541""",Acanthocerus_cruciger,Coreidae,Coreinae,Acanthocerini,Acanthocerus,cruciger,5,2,1,1,2,https://www.inaturalist.org/observations/103494858,,,,,,,,,,,,,,,,,,
"161,""Camptischium_clavipes_CMF_0548""",Camptischium_clavipes,Coreidae,Coreinae,Acanthocerini,Camptischium,clavipes,5,2,1,1,2,https://www.inaturalist.org/observations/254040258,,,,,,,,,,,,,,,,,,
"162,""Zoreva_lacerna_CMF_0813""",Zoreva_lacerna,Coreidae,Coreinae,Acanthocerini,Zoreva,lacerna,5,2,1,1,2,https://www.inaturalist.org/observations/353865206,,,,,,,,,,,,,,,,,,
"163,""Zoreva_lobulata_CMF_0549""",Zoreva_lobulata,Coreidae,Coreinae,Acanthocerini,Zoreva,lobulata,5,2,1,1,2,https://www.inaturalist.org/observations/353865206,,,,,,,,,,,,,,,,,,
"164,""Chariesterus_antennator_CMF_0103""",Chariesterus_antennator,Coreidae,Coreinae,Chariesterini,Chariesterus,antennator,4,2,2,2,2,https://www.inaturalist.org/observations/207492987,,,,,,,,,,,,,,,,,,
"165,""Chariesterus_armatus_CMF_0744""",Chariesterus_armatus,Coreidae,Coreinae,Chariesterini,Chariesterus,armatus,5,2,1,2,2,https://www.inaturalist.org/observations/136514648,,,,,,,,,,,,,,,,,,
"166,""Plapigus_abdominalis_CMF_0002""",Plapigus_abdominalis,Coreidae,Coreinae,Chariesterini,Plapigus,abdominalis,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"167,""Hypselonotus_bitrianguliger_CMF_0073""",Hypselonotus_bitrianguliger,Coreidae,Coreinae,Hypselonotini,Hypselonotus,bitrianguliger,5,1,1,1,1,https://www.inaturalist.org/observations/141376305,,,,,,,,,,,,,,,,,,
"168,""Hypselonotus_fulvus_CMF_0145""",Hypselonotus_fulvus,Coreidae,Coreinae,Hypselonotini,Hypselonotus,fulvus,5,2,1,2,2,https://www.inaturalist.org/observations/144637885,,,,,,,,,,,,,,,,,,
"169,""Hypselonotus_lineatus_CMF_0027""",Hypselonotus_lineatus,Coreidae,Coreinae,Hypselonotini,Hypselonotus,lineatus,5,1,1,1,1,https://www.inaturalist.org/observations/187918107,,,,,,,,,,,,,,,,,,
"170,""Hypselonotus_punctiventris_CMF_0784""",Hypselonotus_punctiventris,Coreidae,Coreinae,Hypselonotini,Hypselonotus,punctiventris,4,1,1,1,1,https://www.inaturalist.org/observations/355916659,,,,,,,,,,,,,,,,,,
"171,""Merocoris_curtatus_CMF_0821""",Merocoris_curtatus,Coreidae,Meropachyinae,Merocorini,Merocoris,curtatus,5,2,1,2,2,https://www.inaturalist.org/observations/46805670,,,,,,,,,,,,,,,,,,
"172,""Merocoris_typhaeus_CMF_0523""",Merocoris_typhaeus,Coreidae,Meropachyinae,Merocorini,Merocoris,typhaeus,5,2,1,1,2,https://www.inaturalist.org/observations/351739714,,,,,,,,,,,,,,,,,,
"173,""Merocoris_elevatus_CMF_0736""",Merocoris_elevatus,Coreidae,Meropachyinae,Merocorini,Merocoris,elevatus,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"174,""Cebrenis_danieli_CMF_0158""",Cebrenis_danieli,Coreidae,Coreinae,Hypselonotini,Cebrenis,danieli,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"175,""Zicca_commaculata_CMF_0055""",Zicca_commaculata,Coreidae,Coreinae,Hypselonotini,Zicca,commaculata,4,2,1,2,2,https://www.inaturalist.org/observations/331337587,,,,,,,,,,,,,,,,,,
"176,""Zicca_rubricator_CMF_0135""",Zicca_rubricator,Coreidae,Coreinae,Hypselonotini,Zicca,rubricator,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"177,""Zicca_taeniola_CMF_0365""",Zicca_taeniola,Coreidae,Coreinae,Hypselonotini,Zicca,taeniola,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"178,""Leptoglossus_ashmeadi_CMF_0124""",Leptoglossus_ashmeadi,Coreidae,Coreinae,Anisoscelini,Leptoglossus,ashmeadi,5,1,1,1,1,https://www.inaturalist.org/observations/9219847,,,,,,,,,,,,,,,,,,
"179,""Leptoglossus_concolor_CMF_0015""",Leptoglossus_concolor,Coreidae,Coreinae,Anisoscelini,Leptoglossus,concolor,5,1,1,1,1,https://www.inaturalist.org/observations/31682683,,,,,,,,,,,,,,,,,,
"180,""Leptoglossus_clypealis_CMF_0463""",Leptoglossus_clypealis,Coreidae,Coreinae,Anisoscelini,Leptoglossus,clypealis,5,1,1,1,1,https://www.inaturalist.org/observations/213995431,,,,,,,,,,,,,,,,,,
"181,""Leptoglossus_oppositus_CMF_0475""",Leptoglossus_oppositus,Coreidae,Coreinae,Anisoscelini,Leptoglossus,oppositus,5,1,1,1,1,https://www.inaturalist.org/observations/204134049,,,,,,,,,,,,,,,,,,
"182,""Leptoglossus_zonatus_CMF_0148""",Leptoglossus_zonatus,Coreidae,Coreinae,Anisoscelini,Leptoglossus,zonatus,5,1,1,1,1,https://www.inaturalist.org/observations/68434599,,,,,,,,,,,,,,,,,,
"183,""Leptoglossus_phyllopus_CMF_0107""",Leptoglossus_phyllopus,Coreidae,Coreinae,Anisoscelini,Leptoglossus,phyllopus,3,1,1,1,1,https://www.inaturalist.org/observations/134894611,,,,,,,,,,,,,,,,,,
"184,""Leptoglossus_corculus_CMF_0785""",Leptoglossus_corculus,Coreidae,Coreinae,Anisoscelini,Leptoglossus,corculus,3,1,1,1,1,https://www.inaturalist.org/observations/315628904,,,,,,,,,,,,,,,,,,
"185,""Leptoglossus_fulvicornis_CMF_0762""",Leptoglossus_fulvicornis,Coreidae,Coreinae,Anisoscelini,Leptoglossus,fulvicornis,5,1,1,1,1,https://www.inaturalist.org/observations/132996448,,,,,,,,,,,,,,,,,,
"186,""Leptoglossus_gonagra_FL_CMF_0669""",Leptoglossus_gonagra,Coreidae,Coreinae,Anisoscelini,Leptoglossus,gonagra,2,1,1,1,1,https://www.inaturalist.org/observations/186022099,,,,,,,,,,,,,,,,,,
"187,""Phthiacnemia_picta_CMF_0350""",Phthiacnemia_picta,Coreidae,Coreinae,Anisoscelini,Phthiacnemia,picta,3,1,1,1,1,https://www.inaturalist.org/observations/365741115,,,,,,,,,,,,,,,,,,
"188,""Narnia_femorata_CMF_0111""",Narnia_femorata,Coreidae,Coreinae,Anisoscelini,Narnia,femorata,5,1,1,1,1,https://www.inaturalist.org/observations/118112200,,,,,,,,,,,,,,,,,,
"189,""Narnia_snowi_CMF_0208""",Narnia_snowi,Coreidae,Coreinae,Anisoscelini,Narnia,snowi,4,1,1,1,1,https://www.inaturalist.org/observations/108458765,,,,,,,,,,,,,,,,,,
"190,""Leptoscelis_quadrisignatus_CMF_0076""",Leptoscelis_quadrisignatus,Coreidae,Coreinae,Anisoscelini,Leptoscelis,quadrisignatus,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"191,""Leptoscelis_tricolor_CMF_0079""",Leptoscelis_tricolor,Coreidae,Coreinae,Anisoscelini,Leptoscelis,tricolor,5,1,1,1,1,https://www.inaturalist.org/observations/150945458,,,,,,,,,,,,,,,,,,
"192,""Anasa_andresii_CMF_0165""",Anasa_andresii,Coreidae,Coreinae,Hypselonotini,Anasa,andresii,3,2,1,2,2,https://www.inaturalist.org/observations/225003367,,,,,,,,,,,,,,,,,,
"193,""Anasa_tristis_CMF_0760""",Anasa_tristis,Coreidae,Coreinae,Hypselonotini,Anasa,tristis,3,2,1,2,2,https://www.inaturalist.org/observations/180600499,,,,,,,,,,,,,,,,,,
"194,""Paryphes_pulchellus_CMF_0858""",Paryphes_pulchellus,Coreidae,Coreinae,Hypselonotini,Paryphes,pulchellus,2,2,2,2,2,https://www.inaturalist.org/observations/311143166,,,,,,,,,,,,,,,,,,
"195,""Anasa_bellator_CMF_0316""",Anasa_bellator,Coreidae,Coreinae,Hypselonotini,Anasa,bellator,5,1,1,1,1,https://www.inaturalist.org/observations/39568154,,,,,,,,,,,,,,,,,,
"196,""Anasa_varicornis_CMF_0005""",Anasa_varicornis,Coreidae,Coreinae,Hypselonotini,Anasa,varicornis,5,1,1,1,1,https://www.inaturalist.org/observations/88940998,,,,,,,,,,,,,,,,,,
"197,""Anasa_scorbutica_CMF_0169""",Anasa_scorbutica,Coreidae,Coreinae,Hypselonotini,Anasa,scorbutica,2,2,1,2,2,https://www.inaturalist.org/observations/205158979,,,,,,,,,,,,,,,,,,
"198,""Anisoscelis_alipes_CMF_0018""",Anisoscelis_alipes,Coreidae,Coreinae,Anisoscelini,Anisoscelis,alipes,5,2,1,1,2,https://www.inaturalist.org/observations/210078552,,,,,,,,,,,,,,,,,,
"199,""Anisoscelis_gradadius_CMF_0137""",Anisoscelis_gradadius,Coreidae,Coreinae,Anisoscelini,Anisoscelis,gradadius,5,2,1,2,2,https://www.inaturalist.org/observations/176507891,,,,,,,,,,,,,,,,,,
"200,""Chondrocera_laticornis_CMF_0662""",Chondrocera_laticornis,Coreidae,Coreinae,Anisoscelini,Chondrocera,laticornis,5,2,1,2,2,https://www.inaturalist.org/observations/63797283,,,,,,,,,,,,,,,,,,
"201,""Holhymenia_sp_CMF_0051""",Holhymenia_sp.,Coreidae,Coreinae,Anisoscelini,Holhymenia,sp.,5,2,2,2,2,https://www.inaturalist.org/photos/169636383,,,,,,,,,,,,,,,,,,
"202,""Holhymenia_tibialis_CMF_0801""",Holhymenia_tibialis,Coreidae,Coreinae,Anisoscelini,Holhymenia,tibialis,5,2,2,2,2,https://www.inaturalist.org/observations/55319608,,,,,,,,,,,,,,,,,,
"203,""Chelinidea_tabulata_CMF_0233""",Chelinidea_tabulata,Coreidae,Coreinae,Chelinideini,Chelinidea,tabulata,3,2,1,2,2,https://www.inaturalist.org/observations/83337417,,,,,,,,,,,,,,,,,,
"204,""Chelinidea_vittiger_CMF_0220""",Chelinidea_vittiger,Coreidae,Coreinae,Chelinideini,Chelinidea,vittiger,5,2,2,2,2,https://www.inaturalist.org/observations/374012865,,,,,,,,,,,,,,,,,,
"205,""Plaxiscelis_limbata_CMF_0072""",Plaxiscelis_limbata,Coreidae,Coreinae,Placoscelini,Plaxiscelis,limbata,5,1,1,1,1,https://www.inaturalist.org/observations/141918382,,,,,,,,,,,,,,,,,,
"206,""Stenoeurilla_aenescens_CMF_0083""",Stenoeurilla_aenescens,Coreidae,Coreinae,Placoscelini,Stenoeurilla,aenescens,5,1,1,1,1,https://www.inaturalist.org/observations/93948792,,,,,,,,,,,,,,,,,,
"207,""Stenoeurilla_mesoamericana_CMF_0402""",Stenoeurilla_mesoamericana,Coreidae,Coreinae,Placoscelini,Stenoeurilla,mesoamericana,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"208,""Laminiceps_vergarae_CMF_0800""",Laminiceps_vergarae,Coreidae,Coreinae,Acanthocephalini,Laminiceps,vergarae,5,1,1,1,1,https://www.inaturalist.org/observations/255585118,,,,,,,,,,,,,,,,,,
"209,""Petalops_distinctus_CMF_0810""",Petalops_distinctus,Coreidae,Coreinae,Acanthocephalini,Petalops,distinctus,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"210,""Stenometapodus_ambiguus_CMF_0845""",Stenometapodus_ambiguus,Coreidae,Coreinae,Acanthocephalini,Stenometapodus,ambiguus,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"211,""Stenometapodus_v_luteum_CMF_0844""",Stenometapodus_v-luteum,Coreidae,Coreinae,Acanthocephalini,Stenometapodus,v-luteum,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"212,""Zygometapodus_castaneus_CMF_0798""",Zygometapodus_castaneus,Coreidae,Coreinae,Acanthocephalini,Zygometapodus,castaneus,NA,0,0,0,0,NA,,,,,,,,,,,,,,,,,,
"213,""Acanthocephala_thomasi_CMF_0028""",Acanthocephala_thomasi,Coreidae,Coreinae,Acanthocephalini,Acanthocephala,thomasi,3,1,1,1,1,https://www.inaturalist.org/observations/192565856,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
